song_and_artist,cluster
If I Ever Feel Better by Phoenix,5
Dance To The Underground by Radio 4,9
How We Do by Mount Sims,5
Fuck the Pain Away by Peaches,9
Street Surgery 2 by Zongamin,2
Emerge by Fischerspooner,6
Such Great Heights by The Postal Service,3
The District Sleeps Alone Tonight by The Postal Service,3
Sleepin In by The Postal Service,9
Danger! High Voltage - Soulchild Radio Mix by Electric Six,5
Gay Bar by Electric Six,3
We Don't Care by Audio Bullys,5
Good Luck by Basement Jaxx,0
Good Luck by Lisa Kekaula,0
Dirge by Death In Vegas,0
Girls by Death In Vegas,6
Club Foot by Kasabian,3
Huddle Formation by The Go! Team,6
La ritournelle by Sébastien Tellier,6
Cherry Blossom Girl by Air,6
Day Job by The Fitness,9
Meantime by The Futureheads,3
Hounds of Love by The Futureheads,3
At the River by Groove Armada,6
I Disappear by The Faint,9
Tell Me Does She Love The Bass by Lesbians On Ecstasy,9
Teen Angst by M83,3
Galvanize by The Chemical Brothers,9
Finding out True Love Is Blind - Album/EP Version by Louis XIV,0
Finding out True Love Is Blind - Album/EP Version by Jason Hill,0
Finding out True Love Is Blind - Album/EP Version by Brian Karscig,0
Robot Rock by Daft Punk,6
How Long by Out Hud,6
Banquet by Bloc Party,5
Helicopter by Bloc Party,3
This Modern Love by Bloc Party,3
Never Win by Fischerspooner,9
Frenchy I'm Faking by Architecture In Helsinki,3
Apart by Elkland,3
Apply Some Pressure by Maximo Park,3
Love + Pain by Clor,5
All Night Disco Party by Brakes,6
Rock & Roll Queen by The Subways,3
Middle of Nowhere by Hot Hot Heat,9
Jacques Your Body (Make Me Sweat) - Radio Edit by Les Rythmes Digitales,5
Riot Radio by The Dead 60s,5
Do You Want To by Franz Ferdinand,0
Boa Vs Python by Test Icicles,3
Tear You Apart by She Wants Revenge,0
Over And Over by Hot Chip,5
Without You by Elkland,9
Budapest by Poni Hoax,9
Budapest by Olga Kouklaki,9
Monster by The Automatic Automatic,5
Standing In the Way of Control by Gossip,9
"Nobody Move, Nobody Get Hurt by We Are Scientists",3
Love Like Semtex by Infadels,0
Gold Lion by Yeah Yeah Yeahs,3
The Treatment by Dead Disco,9
I Am The Night Before by Kissogram,9
Ankle Injuries by Fujiya & Miyagi,6
Stutter by Kubichek!,3
Boys Wanna Be Her by Peaches,9
Let's Make Love and Listen to Death From Above by CSS,5
Alala by CSS,5
"Music Is My Hot, Hot Sex by CSS",5
Suzie by Boy Kill Boy,3
We Are Your Friends - Justice Vs Simian by Justice,5
We Are Your Friends - Justice Vs Simian by Simian,5
Loud Pipes by Ratatat,6
Wildcat by Ratatat,9
Don't Give Up by The Whitest Boy Alive,6
Burning by The Whitest Boy Alive,6
Pride Before the Fall by The KBC,9
Automatic by Dead Disco,3
Wolf Like Me by TV On The Radio,3
Pieces Of The People We Love by The Rapture,9
I Don't Feel Like Dancin' by Scissor Sisters,9
I Can't Decide by Scissor Sisters,9
I'm On Fire by Chromatics,1
Drop The Decade by Shut Your Eyes And You'll Burst Into Flames,5
That’s What She Said by The Automatic,5
Le Disko by Shiny Toy Guns,9
Walking Machine - Sebastian Remix by Revl9n,5
Heartbeats by The Knife,9
Embrace by PNAU,5
Dr Love by Bumblebeez,3
When You Leave by Maps,3
Rainbow Man by Busy P,6
Blind - Frankie Knuckles Remix by Hercules & Love Affair,5
With You Forever by PNAU,0
It's Not Over Yet by Klaxons,3
Baby by PNAU,5
Come Together by PNAU,9
Pony by Teenager,5
We Were Born The Mutants Again With Leafling by of Montreal,9
Cato As A Pun by of Montreal,3
Young Folks by Peter Bjorn and John,9
Ruby by Kaiser Chiefs,5
All My Friends by LCD Soundsystem,9
Someone Great by LCD Soundsystem,9
A Strange Education by The Cinematics,0
Books From Boxes by Maximo Park,9
Our Velocity by Maximo Park,5
Four Horsemen Of 2012 by Klaxons,3
Dream Of Infinity by Shitdisco,3
See The Blood by Black Wire,7
Pogo by Digitalism,0
Digitalism In Cairo by Digitalism,9
Men's Needs by The Cribs,5
You Made Me Like It by 1990s,9
Astronaut by Shy Child,3
First Love by The Maccabees,3
Believe by The Bravery,3
Solta O Frango by Bonde Do Role,9
I’m A Man by Black Strobe,5
D.A.N.C.E. by Justice,0
Surrender by (We Are) Performance,3
Let's Dance to Joy Division by The Wombats,0
La Verite by Vive La Fête,9
Waterwater by Jakobínarína,6
Paper Planes by M.I.A.,0
Bring On The Comets by VHS or Beta,9
Je veux te voir by Yelle,9
Ce jeu by Yelle,9
Grip Like A Vice by The Go! Team,0
I Believe by Simian Mobile Disco,9
Stripper by Sohodolls,9
London Scene? by Twisted Charm,9
Less Talk More Rokk by Freezepop,5
Ice Cream by Muscles,9
Think Fast by Bolt Action Five,5
Overpowered by Róisín Murphy,5
Japanese Girl - Eskimo Disco Vs Fred Falke Radio Remix by Eskimo Disco,2
Wonderland by Winterkids,3
Milk Crisis by The Go! Team,6
Fear And Fluoride by Dead Kids,3
Drop The Phone by Shy Child,6
Architechs of Discotech by Glamour For Better,5
"tell me, computer by to my boy",3
Paris (Aeroplane Remix) by Friendly Fires,5
Bruises by Chairlift,9
The Knife: Heartbeats - Rex The Dog Remix by Rex The Dog,0
Jerk It by Thunderheist,5
You! Me! Dancing! by Los Campesinos!,3
Skeleton Boy by Friendly Fires,9
Jump In The Pool by Friendly Fires,3
Halo by Bloc Party,0
Hearts On Fire by Cut Copy,6
Ready For The Floor by Hot Chip,5
Mr Understanding by Pete And The Pirates,9
Couleurs by M83,6
Safety Dance by Dandi Wind,0
Blind - Radio Edit by Hercules & Love Affair,5
Why Cant we be Friends? by Trash Fashion,5
Untrust Us by Crystal Castles,5
Drama Queen by Switches,6
Sister Self Doubt by Get Shakes,5
Poor Innocent Boys by Cazals,5
Young Love (feat. Laura Marling) by Mystery Jets,9
Young Love (feat. Laura Marling) by Laura Marling,9
Two Doors Down by Mystery Jets,5
